,,,,,,,,,,,,,,,,,,,
Function Code,,Function1,,,Function Name,,,,,,Function A,,,,,,,,
Created By,,<Developer Name>,,,Executed By,,,,,,,,,,,,,,
Lines  of code,,100,,,Lack of test cases,,,,,,-5,,,,,,,,
Test requirement,,<Brief description about requirements which are tested in this function>,,,,,,,,,,,,,,,,,
Passed,,Failed,,,Untested,,,,,,N/A/B,,,Total Test Cases,,,,,
12,,2,,,1,,,,,,11,3,1,15,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,UTCID01,UTCID02,UTCID03,UTCID04,UTCID05,UTCID06,UTCID07,UTCID08,UTCID09,UTCID10,UTCID11,UTCID12,UTCID13,UTCID14,UTCID15
Condition,Precondition ,,,,,,,,,,,,,,,,,,
,,,Can connect with server,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Date,,,,,,,,,,,,,,,,,,
,,,29,,O,O,,,,,,,,,,,,,
,,,30,,,,,,,,,,,,,,,,
,,,31,,,,,,,,,,,,,,,,
,Month,,,,,,,,,,,,,,,,,,
,,,2,,O,,,,,,,,,,,,,,
,,,3,,,O,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,,,
,Year,,,,,,,,,,,,,,,,,,
,,,2000,,O,,,,,,,,,,,,,,
,,,2009,,,O,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Confirm,Return,,,,,,,,,,,,,,,,,,
,,,T,,O,O,,,,,,,,,,,,,
,,,F,,,,,,,,,,,,,,,,
,Exception,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Log message,,,,,,,,,,,,,,,,,,
,,,"""success""",,,,,,,,,,,,,,,,
,,,"""input1 is null""",,,,,,,,,,,,,,,,
Result,"Type(N : Normal, A : Abnormal, B : Boundary)",,,,A,N,N,N,N,B,A,N,N,N,N,N,A,N,N
,Passed/Failed,,,,P,P,P,P,P,F,F,P,P,P,P,P,,P,P
,Executed Date,,,,02/26,02/26,02/27,02/28,03/01,03/02,03/03,03/04,03/05,03/06,03/07,03/08,03/09,03/10,03/11
,Defect ID,,,,,,,,,DFID002,DFID004,DFID005,DFID006,DFID007,DFID008,DFID009,DFID010,DFID011,DFID012
